jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
29,1,2023,stage_3,tour-of-sharjah,2.2,2023 Tour of Sharjah Stage 3.gpx,https://www.komoot.com/tour/2985823812,26.6,8.46,14.1,,68.5,,19.6,24.7,,73.6,1.52,0.553,0.0,,,,,,117.07,1493.0,1238.0,321.0,0.0,5.0,2.0,1.0,0.0,0.0,0.9775,0.9775,0.9775,0.0,0.0,4.4,0.97,1.48,669.0,0.03,475.0
29,1,2023,stage_7,la-tropicale-amissa-bongo,2.1,2023 La Tropicale Amissa Bongo Stage 7.gpx,https://www.komoot.com/tour/2985220880,0.316,0.997,131.0,,,0.0,132.0,0.67,0.0,0.389,,,,,,,,,132.91,717.0,729.0,51.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,-0.64,98.0,-0.02,209.0
29,1,2023,stage_7,vuelta-ciclista-a-la-provincia-de-san-juan,2.Pro,2023 Vuelta a San Juan Internacional Stage 7.gpx,https://www.komoot.com/tour/2986020891,13.5,0.0,0.0,,99.1,,13.6,1.76,,101.0,3.86,,,,,,,,112.09,348.0,350.0,664.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.07,0.08,63.0,0.03,167.0
29,1,2023,result,gp-d-ouverture,1.1,2023 Grand Prix Cycliste de Marseille La Marseillaise.gpx,https://www.komoot.com/tour/2985093355,129.0,1.22,34.7,1.88,,,165.0,2.07,,0.0,,,,,,,,,167.32,2904.0,3047.0,730.0,11.0,9.0,7.0,3.0,0.0,0.0,0.9473,0.9473,0.8198,0.0,0.0,-0.2,-1.2,-1.52,0.0,0.39,862.0
29,1,2023,result,trofeo-palma,1.1,2023 Trofeo Palma - Palma.gpx,https://www.komoot.com/tour/2985877993,47.6,2.87,82.8,3.3,3.19,,129.0,7.83,2.29,3.41,2.57,,,,,,,,141.74,935.0,942.0,251.0,0.0,3.0,1.0,0.0,0.0,0.0,0.7243,0.0886,0.0,0.0,0.0,0.0,0.0,0.02,36.0,0.14,438.0
29,1,2023,result,great-ocean-road-race,1.UWT,2023 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2984819168,126.0,2.62,5.47,37.1,1.06,0.0,121.0,50.9,,1.19,0.931,0.0,0.409,,,,,,173.67,1666.0,1679.0,164.0,1.0,6.0,1.0,0.0,0.0,0.0,0.9377,0.065,0.0,0.0,0.0,-1.0,-0.87,-0.86,95.0,0.06,560.0
30,1,2023,stage_4,tour-of-sharjah,2.2,2023 Tour of Sharjah Stage 4.gpx,https://www.komoot.com/tour/2985825371,66.6,4.31,6.08,,32.5,0.0,40.8,33.4,,36.8,1.64,,0.0,,,,,,110.07,1530.0,986.0,544.0,0.0,4.0,3.0,1.0,0.0,0.0,0.9995,0.9995,0.9995,0.0,0.0,7.9,8.77,8.02,550.0,0.1,463.0
30,1,2023,stage_1,alula-tour,2.1,2023 Saudi Tour Stage 1.gpx,https://www.komoot.com/tour/2985454377,131.0,,50.6,,,,182.0,,,,,,,,,,,,181.32,1044.0,902.0,1023.0,572.0,2.0,1.0,1.0,0.0,0.0,0.5447,0.5447,0.5447,0.0,0.0,0.8,0.53,0.44,137.0,0.16,246.0
31,1,2023,stage_2,alula-tour,2.1,2023 Saudi Tour Stage 2.gpx,https://www.komoot.com/tour/2985455389,111.0,,71.0,,,,182.0,,,,,,,,,,,,182.85,1066.0,1042.0,1132.0,768.0,2.0,1.0,1.0,0.0,0.0,0.2628,0.2628,0.2628,0.0,0.0,0.7,0.53,0.38,121.0,0.57,497.0
31,1,2023,stage_5,tour-of-sharjah,2.2,2023 Tour of Sharjah Stage 5.gpx,https://www.komoot.com/tour/2985826660,7.19,1.3,1.88,,61.9,,9.5,0.687,,56.7,0.268,,,,,,,,72.22,199.0,333.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,38.0,-0.18,173.0
1,2,2023,stage_1,tour-du-sahel,2.2,2023 Tour du Sahel Stage 1.gpx,https://www.komoot.com/tour/2985712564,,,110.0,,,,110.0,,,,,,,,,,,,109.92,138.0,37.0,127.0,19.0,1.0,0.0,0.0,0.0,0.0,0.8674,0.0,0.0,0.0,0.0,0.2,-0.17,-0.14,106.0,0.07,50.0
1,2,2023,stage_1,vuelta-a-la-comunidad-valenciana,2.Pro,2023 Volta a la Comunitat Valenciana Stage 1.gpx,https://www.komoot.com/tour/2985936591,103.0,0.973,78.2,5.31,0.297,,182.0,5.64,,0.297,0.169,0.169,,,,,,,187.96,2055.0,2069.0,623.0,-3.0,5.0,3.0,2.0,0.0,0.0,0.7806,0.7806,0.7806,0.0,0.0,-0.2,-0.1,-0.54,33.0,-0.04,55.0
1,2,2023,stage_1,etoile-de-besseges,2.1,2023 Etoile de Besseges - Tour du Gard Stage 1.gpx,https://www.komoot.com/tour/2984950026,115.0,3.49,40.9,0.0,0.941,0.135,159.0,0.538,,0.8,0.37,,,,,,,,160.87,478.0,421.0,70.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1.9,1.12,81.0,0.0,156.0
1,2,2023,stage_1,vuelta-del-porvenir,2.2,2023 Vuelta del Porvenir San Luis Stage 1.gpx,https://www.komoot.com/tour/2986030832,51.1,1.31,22.7,14.4,61.9,,22.0,67.3,,62.0,,0.0,,,,,,,150.87,1112.0,1003.0,1036.0,751.0,2.0,2.0,0.0,0.0,0.0,0.717,0.717,0.0,0.0,0.0,1.3,1.13,1.18,78.0,0.41,422.0
