fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,path_km,off-grid_(unknown)_km,singletrack_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,state_road_km,alpine_km,compacted_gravel_km,alpine_path_km
2022 Elite Road Central American Championships - ITT.gpx,https://www.komoot.com/tour/2983543813,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.0,0.0,0.0,12.2,0.0,0.0,0.0
2022 Elite Road Central American Championships.gpx,https://www.komoot.com/tour/2983545170,34.9,0.0,0.642,0.0,0.0,0.0,0.0,0.0,107.0,0.398,0.0,0.0,71.8,0.0,0.0,0.0
2022 Eschborn-Frankfurt.gpx,https://www.komoot.com/tour/2983548815,119.0,26.1,4.93,10.2,1.7,10.1,1.04,0.489,169.0,4.6,1.41,0.18,15.2,0.0,0.0,0.0
2022 Ethias-Tour de Wallonie Stage 1.gpx,https://www.komoot.com/tour/2983550862,147.0,9.9,5.24,0.0,0.0,0.0,0.0,0.0,156.0,17.9,0.537,0.0,11.2,0.0,0.0,0.0
2022 Ethias-Tour de Wallonie Stage 2.gpx,https://www.komoot.com/tour/2983553351,155.0,2.82,5.93,0.142,0.535,0.0,0.0,0.0,175.0,3.27,0.0,0.0,13.3,0.0,0.0,0.0
2022 Ethias-Tour de Wallonie Stage 3.gpx,https://www.komoot.com/tour/2983555299,129.0,4.6,7.34,0.168,0.0,0.168,0.0,0.0,177.0,18.6,0.0,0.462,55.5,0.0,0.0,0.0
2022 Ethias-Tour de Wallonie Stage 4.gpx,https://www.komoot.com/tour/2983557596,145.0,7.28,0.862,0.195,0.0,0.195,0.0,0.0,192.0,9.08,0.356,0.0,47.7,0.0,0.0,0.0
2022 Ethias-Tour de Wallonie Stage 5.gpx,https://www.komoot.com/tour/2983560028,160.0,23.3,11.0,4.89,0.409,4.89,0.9,0.0,158.0,31.7,17.7,1.31,12.6,0.0,0.0,0.0
2022 Etoile de Besseges - Tour du Gard Stage 1.gpx,https://www.komoot.com/tour/2983562321,112.0,0.0,3.89,1.2,0.996,0.395,0.0,0.0,156.0,1.23,0.0,0.0,40.7,0.0,0.0,0.0
2022 Etoile de Besseges - Tour du Gard Stage 2.gpx,https://www.komoot.com/tour/2983564303,130.0,0.639,0.946,0.0,0.0,0.0,0.0,0.0,155.0,1.06,0.0,0.0,24.9,0.0,0.0,0.0
2022 Etoile de Besseges - Tour du Gard Stage 3.gpx,https://www.komoot.com/tour/2983566175,144.0,0.0,0.873,2.12,0.0,2.12,0.0,0.0,145.0,9.03,0.0,0.0,8.9,0.0,0.0,0.0
2022 Etoile de Besseges - Tour du Gard Stage 4.gpx,https://www.komoot.com/tour/2983567851,122.0,1.99,0.347,0.0,0.238,0.0,0.0,0.0,140.0,5.94,0.0,0.238,22.4,0.0,0.0,0.0
2022 Etoile de Besseges - Tour du Gard Stage 5.gpx,https://www.komoot.com/tour/2983569732,9.84,0.401,0.276,0.133,0.0,0.133,0.0,0.0,10.7,0.0,0.0,0.0,0.235,0.0,0.0,0.0
2022 Famenne Ardenne Classic.gpx,https://www.komoot.com/tour/2983571537,135.0,6.61,9.66,0.474,0.0,0.339,0.0,0.0,178.0,9.16,0.957,0.0,31.1,0.0,0.0,0.0
2022 Faun Drome Classic.gpx,https://www.komoot.com/tour/2983573571,150.0,5.78,9.57,2.46,0.0,2.3,0.0,0.0,167.0,23.6,0.0,0.0,25.6,0.0,0.0,0.0
2022 Faun-Ardeche Classic.gpx,https://www.komoot.com/tour/2983575658,125.0,13.2,0.0,0.0,0.0,0.433,0.0,0.0,161.0,10.1,0.0,0.0,32.4,0.0,0.0,0.0
2022 Fleche Ardennaise.gpx,https://www.komoot.com/tour/2983577209,138.0,5.12,3.54,0.0,0.0,0.0,0.0,0.0,149.0,16.9,2.5,0.0,21.7,0.0,0.0,0.0
2022 Fleche du Sud Stage 1.gpx,https://www.komoot.com/tour/2983578697,21.4,0.0,3.14,2.98,0.0,3.15,0.0,0.0,70.2,0.0,0.0,0.0,45.7,0.0,0.0,0.0
2022 Fleche du Sud Stage 2.gpx,https://www.komoot.com/tour/2983580746,79.1,8.57,3.5,0.0,1.05,0.0,0.0,0.0,166.0,0.242,0.144,0.0,73.8,0.0,0.0,0.0
2022 Fleche du Sud Stage 3.gpx,https://www.komoot.com/tour/2983582498,69.4,0.0,0.0,0.217,0.461,0.435,0.0,0.0,124.0,0.0,0.335,0.0,54.7,0.0,0.0,0.0
2022 Fleche du Sud Stage 4.gpx,https://www.komoot.com/tour/2983584783,92.2,2.22,1.75,3.07,0.804,3.31,0.0,0.12,163.0,0.0,0.706,0.422,67.6,0.0,0.0,0.0
2022 Fleche du Sud Stage 5.gpx,https://www.komoot.com/tour/2983587044,105.0,8.76,3.09,0.0,0.779,0.0,0.0,0.0,140.0,0.5,0.251,0.0,23.0,0.0,0.0,0.0
