fichier_gpx,route_url,road_km,state_road_km,street_km,asphalt_km,unpaved_km,paved_km,off-grid_(unknown)_km,unknown_km,path_km,cobblestones_km,cycleway_km,singletrack_km,compacted_gravel_km,access_road_km
2023 Criterium du Dauphine Stage 2.gpx,https://www.komoot.com/tour/2984866367,140.0,27.7,0.0,168.0,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Criterium du Dauphine Stage 3.gpx,https://www.komoot.com/tour/2984868152,156.0,28.8,0.606,189.0,0.0,4.27,0.0,0.0,0.0,0.0,8.88,0.0,0.754,0.0
2023 Criterium du Dauphine Stage 4.gpx,https://www.komoot.com/tour/2984869494,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Criterium du Dauphine Stage 5.gpx,https://www.komoot.com/tour/2984871159,158.0,29.2,0.259,189.0,0.0,1.48,0.0,0.0,0.892,0.0,1.57,0.0,0.0,0.0
2023 Criterium du Dauphine Stage 6.gpx,https://www.komoot.com/tour/2984873222,146.0,23.1,0.204,167.0,0.0,3.31,0.242,0.242,0.0,0.0,1.27,0.0,0.0,0.0
2023 Criterium du Dauphine Stage 7.gpx,https://www.komoot.com/tour/2984875454,111.0,32.1,0.373,148.0,0.0,0.564,0.447,0.447,0.0,0.0,5.76,0.0,0.0,0.0
2023 Criterium du Dauphine Stage 8.gpx,https://www.komoot.com/tour/2984877956,135.0,3.23,0.772,153.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.116
2023 Cro Race Stage 1.gpx,https://www.komoot.com/tour/2984880264,63.2,101.0,2.24,165.0,2.22,0.977,12.7,12.3,3.6,0.287,0.0,0.0,0.0,0.0
2023 Cro Race Stage 2.gpx,https://www.komoot.com/tour/2984881828,1.18,110.0,0.0,112.0,0.0,2.7,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0
2023 Cro Race Stage 3.gpx,https://www.komoot.com/tour/2984883650,18.3,113.0,1.69,132.0,0.0,1.26,0.0,0.143,1.12,0.0,0.0,0.0,0.0,0.0
2023 Cro Race Stage 4.gpx,https://www.komoot.com/tour/2984885118,122.0,46.9,1.29,169.0,2.01,0.528,18.6,18.3,2.36,0.887,0.0,0.497,0.0,0.0
2023 Cro Race Stage 5.gpx,https://www.komoot.com/tour/2984886700,98.1,91.0,0.124,188.0,0.0,0.737,0.0,0.124,0.239,0.0,0.0,0.0,0.0,0.0
