fichier_gpx,route_url,road_km,state_road_km,off-grid_(unknown)_km,street_km,asphalt_km,unknown_km,cycleway_km,access_road_km,paved_km,cobblestones_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km,alpine_km,alpine_path_km
2019 Circuit de Wallonie.gpx,https://www.komoot.com/tour/2971775695,96.3,53.9,2.74,9.75,163.0,2.91,28.5,0.0,22.0,3.42,0.936,0.936,0.0,0.0,0.0,0.0,0.0
2019 Circuit des Ardennes International Stage 1.gpx,https://www.komoot.com/tour/2971776136,165.0,22.0,0.0,2.67,160.0,0.0,0.0,0.0,28.9,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0
2019 Circuit des Ardennes International Stage 2.gpx,https://www.komoot.com/tour/2971776724,134.0,17.0,0.185,6.02,125.0,0.185,0.86,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Circuit des Ardennes International Stage 3-1.gpx,https://www.komoot.com/tour/2971777291,48.2,6.01,0.838,4.58,52.5,0.838,0.0,0.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Circuito de Getxo - Memorial Hermanos Otxoa.gpx,https://www.komoot.com/tour/2971778210,46.5,91.4,0.0,35.5,168.0,0.277,23.1,0.0,22.3,7.02,0.732,0.0,0.0,0.0,0.0,0.0,0.0
2019 Circuito del Porto - Trofeo Arvedi.gpx,https://www.komoot.com/tour/2971779099,112.0,45.9,0.0,0.336,180.0,0.0,21.4,0.0,0.753,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0
2019 Clasica Ciclista San Sebastian.gpx,https://www.komoot.com/tour/2971780135,151.0,51.6,0.463,15.5,221.0,0.51,5.48,0.0,2.12,0.884,0.678,0.0,0.0,0.0,0.0,0.0,0.0
2019 Clasica de Almeria.gpx,https://www.komoot.com/tour/2971780748,119.0,58.8,7.39,4.03,177.0,8.13,1.97,0.0,5.32,0.0,0.765,1.91,0.834,0.0,0.0,0.0,0.0
2019 Classic Loire Atlantique.gpx,https://www.komoot.com/tour/2971781440,155.0,0.0,0.0,25.1,166.0,0.0,7.27,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Classica da Arrabida - Cyclin'Portugal.gpx,https://www.komoot.com/tour/2971782259,83.3,89.2,1.38,7.37,177.0,1.38,0.106,0.0,3.29,0.0,1.61,1.75,0.144,0.0,0.0,0.0,0.0
2019 Colombia 2.1 Stage 1.gpx,https://www.komoot.com/tour/2971782868,1.95,9.9,0.0,0.296,11.9,0.0,1.75,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Colombia 2.1 Stage 2.gpx,https://www.komoot.com/tour/2971783508,93.3,52.3,7.71,0.0,152.0,7.38,6.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2019 Colombia 2.1 Stage 3.gpx,https://www.komoot.com/tour/2971784381,1.59,162.0,0.0,0.0,126.0,0.0,5.98,0.0,42.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
2019 Colombia 2.1 Stage 5.gpx,https://www.komoot.com/tour/2971785938,86.6,93.3,0.0,0.0,132.0,0.0,0.0,0.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Colombia 2.1 Stage 6.gpx,https://www.komoot.com/tour/2971787205,10.7,160.0,1.26,0.851,172.0,1.65,5.63,0.0,5.03,0.0,0.638,0.0,0.0,0.0,0.0,0.0,0.0
2019 Colombian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2971787694,9.43,18.1,0.23,1.09,27.6,0.747,0.0,0.0,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
