fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,access_road_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unknown_km,unpaved_km,off-grid_(unknown)_km,compacted_gravel_km,alpine_km
2021 Clasica de Almeria.gpx,https://www.komoot.com/tour/2973455317,156.0,10.5,3.32,1.11,0.0,0.344,0.441,165.0,4.66,0.0,14.4,2.33,14.2,0.0,0.0
2021 Classic Grand Besancon Doubs.gpx,https://www.komoot.com/tour/2973456423,157.0,0.261,11.3,3.22,0.0,0.0,0.0,155.0,17.2,0.0,0.437,0.0,0.339,0.0,0.0
2021 Classic Loire Atlantique.gpx,https://www.komoot.com/tour/2973457445,147.0,0.0,29.3,7.77,0.0,0.0,0.0,163.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0
2021 Classica Comunitat Valenciana 1969 - Gran Premio Valencia.gpx,https://www.komoot.com/tour/2973458617,79.1,12.6,0.794,0.461,0.0,0.0,0.0,95.2,0.677,0.0,0.28,0.0,0.191,0.0,0.0
2021 Classica da Arrabida - Cyclin'Portugal.gpx,https://www.komoot.com/tour/2973459787,69.0,99.7,6.41,0.0,0.0,3.21,0.0,162.0,13.4,0.24,1.13,3.21,1.13,0.0,0.0
2021 Classique Paris-Chauny.gpx,https://www.komoot.com/tour/2973460748,181.0,10.9,6.37,3.87,0.0,0.0,0.0,192.0,9.55,0.0,0.338,0.0,0.208,0.0,0.0
2021 Colombian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973461615,0.0,36.5,0.913,0.0,0.0,0.0,0.0,36.5,0.0,0.0,2.19,0.0,1.28,0.0,0.0
2021 Colombian Road National Championships.gpx,https://www.komoot.com/tour/2973462990,0.0,106.0,0.0,0.0,0.0,0.172,0.0,94.4,11.9,0.0,0.172,0.0,0.0,0.169,0.0
2021 Coppa Agostoni - Giro delle Brianze.gpx,https://www.komoot.com/tour/2973464075,174.0,0.267,5.09,2.05,0.0,0.153,0.0,155.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0
2021 Coppa Bernocchi - GP BPM.gpx,https://www.komoot.com/tour/2973465312,161.0,24.8,8.99,1.45,0.253,0.0,0.0,188.0,8.3,0.44,0.192,0.0,0.0,0.0,0.0
