fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km
2018 Carpathian Couriers Race Stage 1.gpx,https://www.komoot.com/tour/2969947426,91.9,53.2,1.56,0.465,0.0,0.176,146.0,0.98,0.0,0.275,0.0,0.0,0.0,0.0,0.0
2018 Carrefour Market Heistse Pijl.gpx,https://www.komoot.com/tour/2969948717,12.8,0.0,14.7,148.0,1.31,0.0,83.8,102.0,5.27,1.54,0.177,0.419,0.239,0.0,0.0
2018 Cholet-Pays de Loire.gpx,https://www.komoot.com/tour/2969950600,161.0,1.49,24.2,13.6,3.71,0.643,176.0,24.3,0.0,4.37,0.318,0.131,0.0,0.0,0.0
2018 Chrono Champenois-Masculin International.gpx,https://www.komoot.com/tour/2969952227,26.3,5.57,0.669,0.489,0.0,0.0,32.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Chrono Kristin Armstrong.gpx,https://www.komoot.com/tour/2969953504,5.9,1.14,9.43,4.95,1.04,0.485,21.2,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0
2018 Chrono des Nations.gpx,https://www.komoot.com/tour/2969954865,44.5,0.131,0.0,1.18,0.0,0.0,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Circuit Cycliste Sarthe - Pays de la Loire Stage 1.gpx,https://www.komoot.com/tour/2969955995,186.0,0.14,5.83,0.0,1.76,0.0,169.0,23.5,0.0,1.58,0.0,0.0,0.0,0.0,0.0
2018 Circuit Cycliste Sarthe - Pays de la Loire Stage 2.gpx,https://www.komoot.com/tour/2969957436,158.0,0.835,15.1,8.25,0.0,0.0,178.0,4.8,0.212,0.0,0.127,0.0,0.0,0.0,0.0
2018 Circuit Cycliste Sarthe - Pays de la Loire Stage 3.gpx,https://www.komoot.com/tour/2969959015,194.0,3.32,1.64,0.0,0.0,0.0,149.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Circuit Cycliste Sarthe - Pays de la Loire Stage 4.gpx,https://www.komoot.com/tour/2969960312,171.0,0.0,13.3,0.0,0.0,0.0,126.0,58.0,0.0,0.238,0.0,0.0,0.0,0.0,0.0
2018 Circuit de Wallonie.gpx,https://www.komoot.com/tour/2969962098,92.8,54.9,6.35,22.8,2.63,0.0,156.0,16.0,4.62,2.67,0.0,0.0,0.0,0.0,0.0
2018 Circuit des Ardennes International Stage 1.gpx,https://www.komoot.com/tour/2969963290,165.0,6.17,0.751,1.27,0.0,0.0,169.0,3.66,0.109,0.0,0.0,0.0,0.0,0.0,0.0
2018 Circuit des Ardennes International Stage 2.gpx,https://www.komoot.com/tour/2969964572,128.0,43.3,2.31,2.12,0.0,0.0,140.0,35.0,0.454,0.0,0.0,0.0,0.0,0.0,0.0
2018 Circuit des Ardennes International Stage 3-2.gpx,https://www.komoot.com/tour/2969965692,88.2,2.93,5.1,8.18,1.74,0.0,97.7,5.41,1.27,1.74,0.0,0.0,0.0,0.0,0.0
2018 Circuito de Getxo - Memorial Ricardo Otxoa.gpx,https://www.komoot.com/tour/2969967208,52.2,25.4,62.2,48.8,0.0,0.0,163.0,22.4,5.51,0.798,2.68,0.0,0.0,0.0,0.0
2018 Circuito del Porto - Trofeo Arvedi.gpx,https://www.komoot.com/tour/2969968793,112.0,45.9,0.336,21.4,0.0,0.0,180.0,0.753,0.0,0.0,0.753,0.0,0.0,0.0,0.0
2018 Clasica Ciclista San Sebastian.gpx,https://www.komoot.com/tour/2969970480,161.0,41.3,7.88,6.54,10.5,0.0,216.0,1.76,0.576,10.9,1.29,0.0,0.0,0.0,0.0
2018 Classic Loire Atlantique.gpx,https://www.komoot.com/tour/2969972431,155.0,0.0,25.1,7.27,0.0,0.0,166.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Classica Aldeias do Xisto - Cyclin'Portugal.gpx,https://www.komoot.com/tour/2969973986,96.8,46.5,2.32,0.0,0.188,0.0,133.0,11.7,0.799,0.22,0.209,0.209,0.0,0.0,0.0
2018 Classica da Arrabida - Cyclin'Portugal.gpx,https://www.komoot.com/tour/2969975501,47.6,95.7,23.2,0.0,1.1,0.0,153.0,11.3,0.0,1.12,1.61,3.32,0.212,0.849,0.0
2018 Colombia Oro y Paz Stage 1.gpx,https://www.komoot.com/tour/2969977704,19.2,68.8,1.4,9.19,0.0,0.0,90.9,4.95,2.68,0.0,0.0,0.0,0.0,0.0,0.0
2018 Colombia Oro y Paz Stage 2.gpx,https://www.komoot.com/tour/2969978890,4.81,177.0,0.49,0.882,0.221,0.0,182.0,1.15,0.0,0.295,0.0,0.0,0.0,0.0,0.0
2018 Colombia Oro y Paz Stage 3.gpx,https://www.komoot.com/tour/2969980124,21.6,142.0,1.8,0.0,0.0,0.0,161.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Colombia Oro y Paz Stage 4.gpx,https://www.komoot.com/tour/2969981202,11.1,137.0,0.611,0.789,0.0,0.0,146.0,3.44,0.0,0.492,0.0,0.0,0.0,0.0,0.0
2018 Colombia Oro y Paz Stage 5.gpx,https://www.komoot.com/tour/2969982222,9.11,155.0,0.5,2.01,0.88,0.11,162.0,3.91,0.0,0.928,0.0,0.0,0.0,0.0,0.0
2018 Colombia Oro y Paz Stage 6.gpx,https://www.komoot.com/tour/2969983595,2.99,179.0,0.593,1.79,0.263,0.0,183.0,1.0,0.0,0.982,0.421,0.0,0.0,0.0,0.0
2018 Colombian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969984735,0.0,21.5,0.111,0.192,2.72,0.0,21.6,0.308,0.0,3.07,0.419,0.0,0.0,0.0,0.0
