jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km,alpine_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,type_course,niveau_uci,is_stage_race,cluster,cluster_label
1,2,2024,stage_2,vuelta-a-la-comunidad-valenciana,2.Pro,2024 Volta a la Comunitat Valenciana Stage 2.gpx,https://www.komoot.com/tour/2961884661,118.0,0.0,1.46,0.187,29.4,0.348,1.68,0.0,159.0,3.24,0.0,0.0,0.0,0.0,0.0,163.11,1835.0,1919.0,411.0,19.0,5.0,4.0,4.0,0.0,0.0,0.9065,0.9065,0.9065,0.0,0.0,0.0,-1.87,-3.4,7.0,accidentee,3,1,5.0,accidente_long
1,2,2024,stage_2,etoile-de-besseges,2.1,2024 Etoile de Besseges - Tour du Gard Stage 2.gpx,https://www.komoot.com/tour/2951692657,132.0,2.62,0.33,0.0,28.7,0.0,0.0,0.0,163.0,0.746,0.194,0.0,0.0,0.0,0.0,163.86,1986.0,1755.0,636.0,33.0,5.0,3.0,1.0,0.0,0.0,0.9998,0.9998,0.6025,0.0,0.0,8.5,3.1,1.32,148.0,arrivee_en_cote,2,1,5.0,accidente_long
1,2,2024,stage_3,alula-tour,2.1,2024 AlUla Tour Stage 3.gpx,https://www.komoot.com/tour/2951618003,74.8,0.0,0.0,11.6,84.1,11.6,0.0,0.0,155.0,4.2,0.0,0.0,0.0,0.0,0.0,170.61,953.0,946.0,835.0,517.0,3.0,1.0,0.0,0.0,0.0,0.9526,0.1912,0.0,0.0,0.0,1.1,0.2,-0.48,146.0,sprint,2,1,2.0,court_plat
2,2,2024,stage_3,etoile-de-besseges,2.1,2024 Etoile de Besseges - Tour du Gard Stage 3.gpx,https://www.komoot.com/tour/2951693251,146.0,0.0,2.77,3.27,8.92,3.52,0.0,0.0,135.0,22.9,0.0,0.0,0.0,0.0,0.0,161.24,2326.0,2324.0,622.0,123.0,8.0,5.0,1.0,0.0,0.0,0.9304,0.8343,0.7145,0.0,0.0,0.5,0.13,0.02,56.0,accidentee,2,1,5.0,accidente_long
2,2,2024,stage_3,vuelta-a-la-comunidad-valenciana,2.Pro,2024 Volta a la Comunitat Valenciana Stage 3.gpx,https://www.komoot.com/tour/2961886032,98.9,0.0,0.342,0.0,61.6,0.0,0.0,0.0,161.0,0.195,0.0,0.0,0.0,0.0,0.0,161.39,1393.0,1513.0,490.0,13.0,5.0,2.0,1.0,0.0,0.0,0.8661,0.4661,0.4661,0.0,0.0,-0.1,-0.13,-0.08,4.0,sprint,3,1,5.0,accidente_long
2,2,2024,result,nc-south-africa-itt,NC,2024 National Road Championships - South Africa - ITT.gpx,https://www.komoot.com/tour/2951834772,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,1.81,0.0,0.0,0.0,41.27,250.0,250.0,1571.0,1472.0,1.0,0.0,0.0,0.0,0.0,0.5844,0.0,0.0,0.0,0.0,0.4,0.27,0.34,199.0,CLM,0,0,2.0,court_plat
2,2,2024,stage_4,alula-tour,2.1,2024 AlUla Tour Stage 4.gpx,https://www.komoot.com/tour/2951618499,63.7,0.0,6.62,0.995,74.1,0.901,0.0,0.0,138.0,6.35,0.0,0.0,0.0,0.0,0.0,145.12,1017.0,957.0,864.0,736.0,4.0,0.0,0.0,0.0,0.0,0.9994,0.0,0.0,0.0,0.0,3.3,1.17,0.86,182.0,sprint,2,1,2.0,court_plat
3,2,2024,result,grand-prix-apollon-temple-me,1.2,2024 Grand Prix Apollon Temple.gpx,https://www.komoot.com/tour/2951745671,33.8,0.0,0.189,0.0,99.6,0.0,0.0,0.0,129.0,4.88,0.0,0.0,0.0,0.0,0.0,133.45,499.0,492.0,39.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,0.02,63.0,sprint,1,0,2.0,court_plat
3,2,2024,stage_4,vuelta-a-la-comunidad-valenciana,2.Pro,2024 Volta a la Comunitat Valenciana Stage 4.gpx,https://www.komoot.com/tour/2961887333,103.0,0.705,0.675,0.0,55.3,0.0,0.0,0.0,154.0,6.02,0.0,0.0,0.0,0.0,0.0,159.81,3300.0,2715.0,968.0,4.0,8.0,5.0,3.0,1.0,1.0,0.9999,0.9999,0.9999,0.3397,0.3397,13.3,9.07,10.38,272.0,montagne,3,1,0.0,montagne
3,2,2024,stage_4,etoile-de-besseges,2.1,2024 Etoile de Besseges - Tour du Gard Stage 4.gpx,https://www.komoot.com/tour/2951693782,155.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,158.61,1801.0,1805.0,344.0,73.0,7.0,4.0,0.0,0.0,0.0,0.9937,0.9937,0.0,0.0,0.0,-0.4,3.33,3.64,219.0,sprint,2,1,5.0,accidente_long
