rider,equipe,ate_log,ate_orig,ci_low,ci_high,significant,r2_t,r2_y,mean_cate,std_cate,p25_cate,p75_cate,n_obs,n_selected
covi_alessandro,UAE Team Emirates,0.388755,0.4751,0.1528,0.8925,1,0.3422,0.3251,,,,,1857,382
dalla_valle_nicolas,UAE Team Emirates,-0.063683,-0.0617,-0.6216,1.0972,0,-0.2418,0.1002,,,,,297,15
del_toro_isaac,UAE Team Emirates,0.550073,0.7334,-0.0221,1.6125,0,0.5841,0.2646,,,,,590,132
dombrowski_joe,UAE Team Emirates,-0.342183,-0.2898,-0.5903,0.2939,0,0.5992,0.2164,,,,,427,105
fabries_ugo,UAE Team Emirates,0.82316,1.2777,-0.2968,3.5166,0,0.4779,0.2183,,,,,299,10
ferrari_roberto,UAE Team Emirates,0.164049,0.1783,-0.3254,1.4039,0,0.5943,0.2615,,,,,505,125
formolo_davide,UAE Team Emirates,-0.132961,-0.1245,-0.4404,0.2798,0,0.5651,0.2397,,,,,989,251
gaviria_fernando,UAE Team Emirates,0.055447,0.057,-0.2585,0.4514,0,0.4676,0.2049,,,,,986,250
giaimi_luca,UAE Team Emirates,-0.206233,-0.1864,-0.6396,0.6968,0,0.2431,0.245,,,,,590,25
gibbons_ryan,UAE Team Emirates,-0.146396,-0.1362,-0.4116,0.2479,0,0.3953,0.2673,,,,,834,185
glivar_gal,UAE Team Emirates,0.071151,0.0737,-0.6726,2.6012,0,0.2723,0.3067,,,,,572,16
groß_felix,UAE Team Emirates,-0.584344,-0.4425,-0.6611,-0.1505,1,0.2653,0.2107,,,,,840,70
großschartner_felix,UAE Team Emirates,-0.325865,-0.2781,-0.4687,0.0567,0,0.5424,0.3237,,,,,886,224
guatibonza_jonathan,UAE Team Emirates,-0.390552,-0.3233,-0.8152,0.9242,0,0.2895,0.1649,,,,,291,25
herregodts_rune,UAE Team Emirates,0.075351,0.0783,-0.4955,0.8193,0,0.4287,0.1486,,,,,299,52
hirschi_marc,UAE Team Emirates,0.391173,0.4787,0.0344,0.8746,1,0.3966,0.3475,,,,,1156,266
