fichier_gpx,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km
2019 CRO Race Stage 6.gpx,1.968,0.0,1.968,0.0,1.448,0.0
2019 Circuit de Wallonie.gpx,2.997,0.0,1.498,0.0,0.749,0.0
2019 Circuito de Getxo - Memorial Hermanos Otxoa.gpx,0.034,0.0,0.017,0.0,0.017,0.0
2019 Clasica Ciclista San Sebastian.gpx,0.119,0.0,0.027,0.0,0.027,0.0
2019 Colombia 2.1 Stage 2.gpx,0.0,0.566,0.0,0.283,0.0,0.0
2019 Colombia 2.1 Stage 3.gpx,0.0,0.283,0.0,0.0,0.0,0.0
2019 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1.gpx,4.923,0.0,2.737,0.0,0.032,0.0
2019 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 2.gpx,0.194,0.076,0.194,0.0,0.194,0.0
2019 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 4.gpx,4.491,0.024,2.959,0.0,1.056,0.0
2019 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 5.gpx,1.269,0.0,1.269,0.0,0.452,0.0
2019 Czech Tour Stage 2.gpx,0.834,0.0,0.816,0.0,0.408,0.0
2019 Czech Tour Stage 3.gpx,0.49,0.0,0.017,0.0,0.009,0.0
2019 Czech Tour Stage 4.gpx,2.095,0.0,0.737,0.0,0.326,0.0
2019 Danilith Nokere Koerse.gpx,6.054,0.0,2.767,0.0,2.424,0.0
2019 De Brabantse Pijl - La Fleche Brabanconne.gpx,0.703,0.0,0.348,0.0,0.211,0.0
2019 De Kustpijl.gpx,1.882,0.568,1.175,0.378,0.51,0.189
2019 Deutschland Tour Stage 1.gpx,1.579,0.0,0.671,0.0,0.135,0.0
2019 Deutschland Tour Stage 2.gpx,0.676,0.0,0.409,0.0,0.204,0.0
2019 Deutschland Tour Stage 3.gpx,0.067,0.0,0.033,0.0,0.033,0.0
2019 Deutschland Tour Stage 4.gpx,1.662,0.0,0.274,0.0,0.129,0.0
2019 Driedaagse Brugge-De Panne.gpx,0.917,0.012,0.423,0.006,0.313,0.006
2019 Druivenkoers - Overijse.gpx,1.232,0.0,0.418,0.0,0.011,0.0
2019 Dwars door Vlaanderen - A travers la Flandre.gpx,2.543,1.37,1.563,0.0,1.563,0.0
2019 Dwars door het Hageland.gpx,3.101,13.459,1.094,5.68,0.988,4.026
2019 E3 Binckbank Classic.gpx,3.596,0.267,0.0,0.0,0.0,0.0
2019 Elfstedenronde.gpx,9.18,0.01,4.089,0.01,3.337,0.01
2019 Eschborn-Frankfurt.gpx,1.141,0.273,0.09,0.0,0.09,0.0
