course,pts_uci_rank1
veenendaal-veenendaal,125.0
veneto-classic,200.0
visegrad-4-bicycle-race-gp-hungary,40.0
visegrad-4-bicycle-race-gp-polski-via-odra,40.0
visegrad-4-bicycle-race-gp-slovakia,40.0
volta-a-catalunya,50.0
volta-a-portugal,14.0
volta-ao-alentejo,7.0
volta-ao-algarve,20.0
volta-nxt-classic,125.0
vuelta-a-aragon,14.0
vuelta-a-burgos,20.0
vuelta-a-castilla-y-leon,125.0
vuelta-a-ecuador,7.0
vuelta-a-espana,180.0
vuelta-a-formosa-internacional,7.0
vuelta-a-guatemala,7.0
vuelta-a-la-comunidad-valenciana,20.0
vuelta-al-tachira,7.0
vuelta-asturias,14.0
vuelta-bantrab,7.0
vuelta-ciclista-a-la-provincia-de-san-juan,20.0
vuelta-ciclista-a-la-region-de-murcia,125.0
vuelta-ciclista-a-miranda,7.0
vuelta-ciclista-a-venezuela,7.0
vuelta-ciclista-al-uruguay,7.0
vuelta-ciclista-de-chile,7.0
vuelta-del-porvenir,7.0
vuelta-independencia-nacional,7.0
vuelta-internacional-a-costa-rica,7.0
vuelta-internacional-ciclista-michoacan,7.0
vuelta-international-a-la-cominudad-de-madrid,14.0
vuelta-pilsen-a-colombia,7.0
winston-salem-cycling-classic,125.0
world-championship,900.0
world-championship-itt,455.0
yellow-river-estuary-road-cycling-race,7.0
zlm-tour,20.0
zodc-zuidenveld-tour,40.0
