fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km
2025 Santos Tour Down Under Stage 6.gpx,https://www.komoot.com/tour/2951439916,46.2,11.8,14.8,5.37,0.0,0.0,9.64,5.33,62.6,14.5,0.0,5.33,0.0,0.0
2025 Strade Bianche.gpx,https://www.komoot.com/tour/2951440727,120.0,0.0,55.7,0.569,31.4,0.569,5.35,0.0,129.0,7.48,0.841,26.1,49.2,0.0
2025 Tirreno-Adriatico Stage 1.gpx,https://www.komoot.com/tour/2951441234,10.1,0.455,0.729,0.223,0.0,0.0,0.223,0.0,11.2,0.0,0.0,0.0,0.0,0.0
2025 Tirreno-Adriatico Stage 2.gpx,https://www.komoot.com/tour/2951441818,106.0,2.33,2.41,0.746,78.2,0.584,0.0,0.0,184.0,4.53,0.0,0.0,0.0,0.0
2025 Tirreno-Adriatico Stage 3.gpx,https://www.komoot.com/tour/2951442224,167.0,0.0,3.32,0.0,69.5,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0
2025 Tirreno-Adriatico Stage 4.gpx,https://www.komoot.com/tour/2951442717,96.0,0.0,2.91,0.498,90.6,0.611,0.0,0.0,182.0,7.48,0.0,0.0,0.0,0.0
2025 Tirreno-Adriatico Stage 5.gpx,https://www.komoot.com/tour/2951443192,133.0,0.0,1.29,0.0,70.6,0.0,0.0,0.0,201.0,3.64,0.214,0.0,0.0,0.0
2025 Tirreno-Adriatico Stage 6.gpx,https://www.komoot.com/tour/2951443680,121.0,0.0,0.614,1.82,39.0,1.82,0.0,0.0,159.0,1.7,0.0,0.0,0.0,0.0
2025 Tirreno-Adriatico Stage 7.gpx,https://www.komoot.com/tour/2951444372,79.3,3.8,0.291,3.93,58.3,3.75,1.95,0.0,142.0,1.73,0.0,0.0,0.0,0.0
2025 Tour de France Stage 1.gpx,https://www.komoot.com/tour/2951444981,111.0,32.2,5.9,0.698,35.7,0.434,0.0,0.0,177.0,6.17,2.17,0.0,0.0,0.0
2025 Tour de France Stage 10.gpx,https://www.komoot.com/tour/2951445770,138.0,5.7,1.85,2.67,16.4,2.67,0.698,0.0,162.0,0.685,0.0,0.698,0.0,0.0
2025 Tour de France Stage 11.gpx,https://www.komoot.com/tour/2951446372,138.0,3.4,2.28,0.442,12.6,0.442,0.0,0.0,155.0,0.305,0.0,0.0,0.579,0.0
